id,file_dir,content
0,E:\DATN\dataframe\train_file\0.txt,"Trong Frontend, có 1 thứ gọi là State dùng để thể hiện trạng thái của các thành phần trong app."
1,E:\DATN\dataframe\train_file\0.txt,"Hiểu đơn giản là khi bạn gửi tin nhắn cho Crush thì tin nhắn đó sẽ có các trạng thái là đã gửi, đã nhận và đã xem (còn đã xem mà không trả lời là trạng thái mà bạn tự nhận ra được thì không phải là State sẽ được giải thích dưới đây)."
2,E:\DATN\dataframe\train_file\0.txt,"Các trạng thái trên là giá trị của state trong app, nó thể hiện ra để người dùng nhìn thấy."
3,E:\DATN\dataframe\train_file\0.txt,"Tuy nhiên, cũng có những State được sinh ra để xử lý ngầm trong app mà không thể hiện ra UI."
4,E:\DATN\dataframe\train_file\0.txt,"Ví dụ như khi bạn lướt Newsfeed Facebook, thực chất các nội dung sẽ được phân trang, mỗi lần bạn vuốt lên app sẽ tải nội dung của trang tiếp theo để hiển thị và số trang hiện tại chính là 1 State ngầm."
5,E:\DATN\dataframe\train_file\0.txt,"Một chiếc app sẽ có rất nhiều State, đôi khi chúng hoạt động độc lập, hoặc phụ thuộc cũng như là ràng buộc lẫn nhau nên chúng ta phải quản lý nó."
6,E:\DATN\dataframe\train_file\0.txt,Đó chính là State Management.
7,E:\DATN\dataframe\train_file\0.txt,"State Management chưa bao giờ là điều đơn giản, biết dùng State thì dễ, nhưng để tối ưu nó mới là điều khó"
8,E:\DATN\dataframe\train_file\1.txt,Sentence Vectors: Các phương pháp mô hình hóa câu văn lên không gian vector
9,E:\DATN\dataframe\train_file\1.txt,Bài đăng này đã không được cập nhật trong 3 năm
10,E:\DATN\dataframe\train_file\1.txt,"Trong một bài viết trước đây , mình đã giới thiệu về một số phương pháp biểu diễn vector cho dữ liệu dạng văn bản với đơn vị biểu diễn là từ."
11,E:\DATN\dataframe\train_file\1.txt,"Tuy nhiên, trong quá trình thực hiện các nhiệm vụ thực tế liên quan tới , dạng biễu diễn cho dữ liệu dạng text mà ta thường xuyên phải làm việc cùng lại không chỉ là từ mà còn là các câu văn, đoạn văn."
12,E:\DATN\dataframe\train_file\1.txt,Vậy câu hỏi đặt ra là:
13,E:\DATN\dataframe\train_file\1.txt,"Để có thể làm đầu vào cho các mô hình học máy, phương pháp nào giúp ta mô hình hóa các câu văn, đoạn văn thô đó thành biểu diễn vector?"
14,E:\DATN\dataframe\train_file\1.txt,Có thể sử dụng các phương pháp biểu diễn vector cho từ để biểu diễn vector cho câu hay không?
15,E:\DATN\dataframe\train_file\1.txt,"Trong bài viết này, chúng ta sẽ tìm hiểu điều đó, cùng mình điểm lại một số phương pháp phổ biến để mô hình hóa câu văn lên không gian vector hay còn gọi là ."
16,E:\DATN\dataframe\train_file\1.txt,Chúng ta bắt đầu từ phương pháp đơn giản nhất: Sử dụng word2vec để biểu diễn vector cho câu.
17,E:\DATN\dataframe\train_file\1.txt,Sử dụng word2vec để biểu diễn vector cho câu
18,E:\DATN\dataframe\train_file\1.txt,"Như một lẽ tự nhiên, các bạn sẽ thấy ngay một điều là các câu văn về cơ bản là tập hợp của các từ, khi ta đã có biểu diễn vector cho các từ cấu thành lên câu rồi thì liệu có cần thiết phải tìm một phương pháp khác để tìm biểu diễn vector cho câu không."
